,Unnamed: 0.1,Unnamed: 0,title,id,networkName,networkId,color,textColor,latitude,longitude,type,subtitle,stationProperties,reverse_cycle,time
0,,,,,,,,,,,,,,74,2023-05-17 09:00:19.484399
1,,,,,,,,,,,,,,73,2023-05-17 09:10:51.036629
2,,,,,,,,,,,,,,72,2023-05-17 09:21:22.380851
3,,,,,,,,,,,,,,71,2023-05-17 09:31:53.749638
4,,,,,,,,,,,,,,70,2023-05-17 09:42:25.160216
5,,,,,,,,,,,,,,69,2023-05-17 09:52:56.584437
6,,,,,,,,,,,,,,68,2023-05-17 09:52:56.584437
7,,,,,,,,,,,,,,67,2023-05-17 09:52:56.584437
8,,,,,,,,,,,,,,66,2023-05-17 09:52:56.584437
9,,,,,,,,,,,,,,65,2023-05-17 10:03:27.995232
10,,,,,,,,,,,,,,64,2023-05-17 10:03:27.995232
11,,,,,,,,,,,,,,62,2023-05-17 10:03:27.995232
12,,,,,,,,,,,,,,61,2023-05-17 10:03:27.995232
13,,,,,,,,,,,,,,63,2023-05-17 10:13:59.511596
14,,,,,,,,,,,,,,60,2023-05-17 10:13:59.511596
15,,,,,,,,,,,,,,59,2023-05-17 10:13:59.511596
16,,,,,,,,,,,,,,58,2023-05-17 10:13:59.511596
17,,,,,,,,,,,,,,57,2023-05-17 10:13:59.511596
18,,,,,,,,,,,,,,56,2023-05-17 10:13:59.511596
19,,,,,,,,,,,,,,55,2023-05-17 10:13:59.511596
20,,,,,,,,,,,,,,54,2023-05-17 10:24:31.020067
21,,,,,,,,,,,,,,53,2023-05-17 10:24:31.020067
22,,,,,,,,,,,,,,52,2023-05-17 10:24:31.020067
23,,,,,,,,,,,,,,51,2023-05-17 10:24:31.020067
24,,,,,,,,,,,,,,50,2023-05-17 10:35:02.395071
25,,,,,,,,,,,,,,49,2023-05-17 10:35:02.395071
26,,,,,,,,,,,,,,48,2023-05-17 10:45:33.785682
27,,,,,,,,,,,,,,47,2023-05-17 10:45:33.785682
28,,,,,,,,,,,,,,46,2023-05-17 10:45:33.785682
29,,,,,,,,,,,,,,45,2023-05-17 10:45:33.785682
30,,,,,,,,,,,,,,44,2023-05-17 11:06:36.682460
31,,,,,,,,,,,,,,43,2023-05-17 11:06:36.682460
32,,,,,,,,,,,,,,42,2023-05-17 11:06:36.682460
33,,,,,,,,,,,,,,41,2023-05-17 11:06:36.682460
34,,,,,,,,,,,,,,40,2023-05-17 11:06:36.682460
35,,,,,,,,,,,,,,38,2023-05-17 11:06:36.682460
36,,,,,,,,,,,,,,35,2023-05-17 11:06:36.682460
37,,,,,,,,,,,,,,34,2023-05-17 11:06:36.682460
38,,,,,,,,,,,,,,39,2023-05-17 11:17:08.150651
39,,,,,,,,,,,,,,37,2023-05-17 11:17:08.150651
40,,,,,,,,,,,,,,33,2023-05-17 11:17:08.150651
41,,,,,,,,,,,,,,31,2023-05-17 11:17:08.150651
42,,,,,,,,,,,,,,30,2023-05-17 11:17:08.150651
43,,,,,,,,,,,,,,36,2023-05-17 11:27:39.654097
44,,,,,,,,,,,,,,32,2023-05-17 11:27:39.654097
45,,,,,,,,,,,,,,29,2023-05-17 11:27:39.654097
46,,,,,,,,,,,,,,26,2023-05-17 11:27:39.654097
47,,,,,,,,,,,,,,25,2023-05-17 11:27:39.654097
48,,,,,,,,,,,,,,24,2023-05-17 11:27:39.654097
49,,,,,,,,,,,,,,28,2023-05-17 11:38:11.139346
50,,,,,,,,,,,,,,27,2023-05-17 12:09:45.598326
51,,,,,,,,,,,,,,23,2023-05-17 12:20:17.222922
52,,,,,,,,,,,,,,22,2023-05-17 12:20:17.222922
53,,,,,,,,,,,,,,21,2023-05-17 12:30:48.787618
54,,,,,,,,,,,,,,20,2023-05-17 12:30:48.787618
55,,,,,,,,,,,,,,19,2023-05-17 12:41:20.393870
56,,,,,,,,,,,,,,17,2023-05-17 12:41:20.393870
57,,,,,,,,,,,,,,15,2023-05-17 12:41:20.393870
58,,,,,,,,,,,,,,14,2023-05-17 12:41:20.393870
59,,,,,,,,,,,,,,12,2023-05-17 12:41:20.393870
60,,,,,,,,,,,,,,10,2023-05-17 12:41:20.393870
61,,,,,,,,,,,,,,9,2023-05-17 12:41:20.393870
62,,,,,,,,,,,,,,8,2023-05-17 12:41:20.393870
63,,,,,,,,,,,,,,18,2023-05-17 12:51:51.876232
64,,,,,,,,,,,,,,16,2023-05-17 12:51:51.876232
65,,,,,,,,,,,,,,13,2023-05-17 12:51:51.876232
66,,,,,,,,,,,,,,11,2023-05-17 12:51:51.876232
67,,,,,,,,,,,,,,7,2023-05-17 12:51:51.876232
68,,,,,,,,,,,,,,5,2023-05-17 12:51:51.876232
69,,,,,,,,,,,,,,6,2023-05-17 13:02:23.411829
70,,,,,,,,,,,,,,4,2023-05-17 13:12:54.978829
71,,,,,,,,,,,,,,3,2023-05-17 13:12:54.978829
72,,,,,,,,,,,,,,2,2023-05-17 13:12:54.978829
73,,,,,,,,,,,,,,1,2023-05-17 13:12:54.978829
74,,,,,,,,,,,,,,0,2023-05-17 13:23:26.591765
